V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363
31,1,1,1968,1993,4,,1,1,1,1993,1,25,0,300,12.7,4.20E+01,2,,,,1993,1,58000,4000,2800,1200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,2,,2,1,0,12.7,4.20E+01,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,3,4,4,4,4,3,3,4,4,4,4,3,2,2,3,4,3,3,4,3,4,3,4,3,3,3,3,1,2,,,,,,,,,,,2,,2,7,,,,,,,,,,,1,1,3,,,,,2,,,,2,,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,1,2,,,,,,,,,,1939,1947,,,,,,,,,,84,76,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,0,0,28,50,78,,0,60,20,16,16,1.73E+01,10,2,58000,58000,3000,0,61000,1,3000,0,0,3000,3,2,,,,,4,,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,,,,,,,,,422.91172
31,1,1,1968,1996,4,,1,1,1,1996,1,28,0,336,18,5.95E+01,2,,,,1996,1,9999999,9999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,2,1,0,18,5.95E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,3,2,3,3,3,3,2,3,4,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,1,1,,,,,,,,,,,2,,2,11,,,,,,,,,,,1,1,2,,,,,1,7,6,,2,,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,,,,,2,1,,,,,,,,,,,1943,,,,,,,,,,,80,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,1,,,2,,,,,0,0,0,30,50,80,,0,100,17,15,17,1.63E+01,10,2,9999999,9999999,0,1000,9999999,2,,,,,2,2,,,,,4,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,,,,,,,624.14107
31,1,1,1968,2002,4,,1,1,1,1982,2,14,8,176,24,7.93E+01,2,,,,2002,1,75000,22000,15000,7000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,,3,1,0,34,1.12E+02,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,4,4,4,4,4,2,3,4,3,3,3,4,4,4,4,4,3,4,3,3,4,3,3,3,4,3,1,5,,,,,,,,,,,2,,10,11,,,,,,,,,,,1,3,2,,,,,2,,,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,,,,,2,1,2,,,,,,,,,,1942,1947,,,,,,,,,,81,76,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,0,200,0,0,200,,0,150,24,14,20,1.93E+01,0,2,75000,75000,5000,2000,82000,2,,,,,3,2,,,,,3,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,762.1944
31,1,1,1968,2008,4,,1,1,1,1976,2,8,0,96,25,8.26E+01,2,,,,2008,2,40000,13000,13000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,3,1,0,18.2,6.02E+01,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,9,89,6,,2,1,2,2,12,3.97E+01,2,,10,11,,,,,,,,,,,1,1,2,,,,,2,,,,2,,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,,,,,2,1,2,7,,,,,,,,,1942,1943,1995,,,,,,,,,81,80,28,,,,,,,,,1,2,2,,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,4,4,4,,,,,,,,,3,2,,2,,,,,0,0,0,48,40,88,,200,150,25,20,18,2.10E+01,0,2,40000,40000,2000,0,42000,2,,,,,2,2,,,,,4,,,,,,,,,,,,,,,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,,,,,,,,508.59929
31,1,1,1968,2021,4,,1,1,1,1995,2,27,5,329,30,9.92E+01,2,,,,2021,1,50000,36000,36000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,1,0,34,1.12E+02,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,1,2,9,99,1,,1,1,2,3,30,9.92E+01,2,,2,6,,,,,,,,,,,1,1,2,,,,,2,,,,2,,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,,,,,2,1,2,,,,,,,,,,1940,1943,,,,,,,,,,83,80,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,0,100,0,50,150,,0,150,32,25,23,2.67E+01,5,1,50000,50000,9999999,0,9999999,2,,,,,1,2,,,,,4,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,388.43308
31,1,1,1969,1994,4,,1,1,1,1994,1,25,1,301,25.5,8.43E+01,2,,,,1994,1,67000,7000,5000,2000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,2,,3,1,0,25.5,8.43E+01,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,3,3,4,3,3,2,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,7,,,,,,,,,,,2,,2,5,,,,,,,,,,,1,1,2,,,,,1,4,8,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,,,,,2,1,2,,,,,,,,,,1942,1946,,,,,,,,,,81,77,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,10,36,24,20,90,,20,90,26,18,20,2.13E+01,7,1,67000,67000,6000,300,73300,2,,,,,3,2,,,,,4,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,,,,,,,,380.96161
31,1,1,1969,1998,4,,1,1,1,1982,2,13,0,156,18,5.95E+01,2,,,,1998,2,50000,10000,10000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,3,1,0,25,8.26E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,3,3,4,4,4,2,2,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,1,3,,,,,,,,,,,2,,2,7,,,,,,,,,,,1,1,3,,,,,2,,,,2,,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,,,,,1,1,2,,,,,,,,,,1943,1943,,,,,,,,,,80,80,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,0,130,0,0,130,,0,130,32,25,25,2.73E+01,0,2,50000,50000,1000,0,51000,2,,,,,1,2,,,,,4,,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,,,,,,,,,762.1944
31,1,1,1969,2002,2,,1,1,1,1969,2,0,0,0,15,4.96E+01,2,,,,2002,2,80000,50000,50000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,3,1,0,25,8.26E+01,150,4.96E+02,85,2.81E+02,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,2,1,2,2,2,3,3,3,3,,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,2,,,,,,,,,,,2,,7,11,,,,,,,,,,,1,1,2,,,,,2,,,,2,,,2,,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,1,2,,,,,,,,,,1939,1947,,,,,,,,,,84,76,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,200,0,0,0,200,,20,150,30,15,20,2.17E+01,10,2,80000,80000,2000,500,82500,1,0,0,6000,6000,2,2,,,,,4,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,,,,,,,,420.59898
31,1,1,1969,2018,6,,1,3,2,,,,,,,,2,53,0,636,,,,,,,,,1,,,,100,20,,100,20,,2,,,,,,,,,,,,,,2,,,,,100,0,0,0,4,4,4,4,5,,,,,,2,5,2,,3,1,0,22.3,7.37E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,,,,,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,10,1,1,2,,3,1,1,,8,2.64E+01,2,,9,11,,,,,,,,,,,2,,,,1,4,집값이 비싸서,1,2,6,,2,,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,,,,,1,1,,,,,,,,,,,1939,,,,,,,,,,,84,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,1,,,2,,,,,27,0,0,30,20,77,,100,60,15,6,10,1.03E+01,0,2,0,0,600,0,600,2,,,,,1,1,9,2,2,2,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,385.89061
31,1,1,1969,2021,2,,2,3,2,,,,,,,,2,53,0,636,,,,,,,,,2,,5,,200,8,,200,8,,2,,,,,,,,,,,,,,1,,0,1,,200,0,0,0,3,3,3,3,5,,,,,,3,6,2,,2,1,0,12,3.97E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,2,3,1,3,3,3,3,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,9,76,10,,3,1,1,,7,2.31E+01,3,,6,8,,,,,,,,,,,1,1,3,,,,,1,1,10,,2,,,2,,,2,,,1,1,3,2,,,2,,,1,1,4,1,2,,1,2,,1,2,,1,,,,1,1,2,,,,,,,,,,1942,1940,,,,,,,,,,81,83,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,1,1,2,3,,0,0,0,75,0,75,,0,50,10,6,6,7.33E+00,0,2,0,0,300,0,300,2,,,,,2,2,,,,,4,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,,,,,,,,210.40049
