가구번호,지역코드,만족도,지출비용,숙박시설_숙박하지않음,숙박시설_호텔,숙박시설_펜션,숙박시설_민박,여행지선택이유1,여행지선택이유2,여행지선택이유3,활동_자연풍경,활동_음식관광,활동_야외스포츠,활동_휴식휴양,활동_성지순례,활동_갬블링
A00222,935,1,42930.23643,,,3,,12,2,5,,,,,,
A00223,933,4,137062.1849,,2,,,13,2,12,,,3,,,
A00224,933,1,68319.12192,,2,,,1,2,4,,2,3,4,,
A00225,933,3,159694.6929,,,3,,2,,,,,,,,
A00226,934,3,90573.67161,,,3,,12,8,6,,,,,,
A00227,931,2,75776.85245,1,,,,5,8,,,,,,,
A00228,934,3,151478.8529,1,,,,5,13,4,,,,4,,
A00229,934,3,123253.3049,,,,,12,4,3,,,,4,5,
A00230,934,,150007.2297,,,3,,1,,,,,,,,
A00231,931,4,142787.1375,1,,,,1,11,5,,,,,,
A00232,936,,,1,,,,9,2,5,1,,,4,,
A00233,934,1,70149.18105,,2,,,1,,,1,2,,,,
A00234,931,3,177730.3916,,,,,1,3,12,1,,,,,6
A00235,934,4,137792.1889,,,3,,5,12,,,,,,,
A00236,931,4,167334.434,1,,,,9,15,7,1,,,,,
A00237,932,4,260592.5575,,2,,,5,8,,,,3,,,
A00238,935,5,228474.1119,1,,,,13,1,7,,,,,,
A00239,934,3,117064.7123,,,3,,1,10,5,1,,,,,6
A00240,931,4,189287.6187,1,,,,,,,,,3,4,,
A00241,935,3,114401.6934,,2,,,8,,,,,,4,,
A00242,931,2,50337.97418,,2,,,1,15,5,,2,,,,
A00243,931,1,130657.1327,,,,,15,4,14,,2,3,,5,
A00244,931,4,293380.9127,1,,,,9,2,4,,,,,5,
A00245,931,1,73045.64954,,2,,,2,,,,,,,,
A00246,931,3,,,2,,,9,8,6,,,,,,
A00247,931,,93653.02797,1,,,,1,7,3,,,,,,
A00248,935,3,142518.1753,,,,,7,3,12,,,,,,
A00249,932,3,175454.2358,1,,,,1,6,5,,2,,,,
A00250,931,1,40165.23566,1,,,,3,,,,,,,,
A00251,935,3,79862.66343,1,,,,5,14,3,,,,,,6
A00252,934,4,245142.0834,,,,4,,8,4,,,3,,,
A00253,934,4,191351.4802,,,,4,5,,8,1,,,,,
A00254,931,1,132708.7967,,,3,,15,,,,,,,,
A00255,931,4,242124.4307,,2,,,4,2,3,,,,,,
A00256,933,3,128658.3898,1,,,,4,2,7,,,,,,
A00257,931,4,213191.9752,,,3,,4,,,,2,,,,
A00258,931,5,198494.9021,,2,,,15,4,8,,2,,4,,
A00259,931,4,189453.2012,,2,,,15,,,1,,,,,
A00260,932,2,48261.34668,,,3,,1,11,5,1,2,,,5,
A00261,934,5,261858.3145,,2,,,5,,,,,,,,
A00262,931,3,104168.8515,,2,,,2,5,13,,,,,,6
A00263,931,2,63289.66768,1,,,,3,,,,2,3,,,
A00264,933,2,108926.0178,,2,,,11,2,13,,2,,,5,
A00265,931,4,186735.447,,,3,,4,,,,2,,4,,
A00266,931,2,110268.3236,,,,,3,4,8,1,,3,,5,
A00267,931,3,140527.4248,1,,,,3,8,14,1,2,3,,,
A00268,931,2,126227.2607,,2,,,9,1,13,,2,,,,
A00269,932,3,113734.6115,1,,,,1,6,,,,3,,5,
A00270,932,3,130843.7514,,2,,,1,6,5,,2,3,,,
A00271,931,2,61807.96706,,,3,,2,4,5,,,,,,
A00272,934,4,321172.9368,,,3,,12,2,4,1,2,,,,
A00273,932,4,,,,,4,1,2,7,,,3,,5,
A00274,931,4,253238.7546,,2,,,4,8,,,2,,4,,
A00275,931,3,130056.0145,,,,,12,13,,1,,3,,,
A00276,933,3,118788.4106,1,,,,9,14,,1,,,4,5,
A00277,934,5,198124.4152,,,3,,12,,,,,,,,
A00278,936,,43964.05387,,2,,,3,,,,2,,,,
A00279,931,5,330078.0488,,,,4,3,12,13,,,,4,,
A00280,936,4,,,2,,,7,2,5,,,,,,
A00281,932,5,104651.7667,,,,4,9,,,,2,,,,
A00282,933,3,190305.0966,,,3,,5,6,8,,,,,,
A00283,932,3,,,2,,,1,5,,,,3,,,
A00284,934,3,115379.4536,,,,,2,1,12,,,,,,
A00285,931,3,211840.9384,,,3,,2,12,6,,,,,,
A00286,933,4,173035.0624,1,,,,3,1,5,,2,,4,,
A00287,931,5,249915.8729,,,3,,2,,,,,,4,,
A00288,934,1,58862.07034,,,3,,5,4,8,,2,,,,
A00289,932,4,211091.2087,1,,,,3,1,5,,,,,,6
A00290,933,,131425.3928,,,,,3,13,,,,,4,,
A00291,934,1,54296.65661,1,,,,9,3,6,,,,4,,6
A00292,931,5,229653.5232,,,,,11,13,7,,,,,,
A00293,931,2,134927.3253,,,,,13,,,1,,3,,,
A00294,931,3,,,2,,,7,13,8,,,,,,
A00295,935,4,270512.7315,,,,4,14,5,12,,,3,,,
A00296,931,2,145145.0959,,,3,,9,5,3,,,,,,
A00297,934,1,94373.8344,,,,,5,2,13,,,,4,,
A00298,931,4,159124.7427,1,,,,2,,,,,,,,
A00299,936,,228116.1469,1,,,,1,7,3,,,,,,
A00300,931,4,241059.5854,,2,,,1,,,1,2,3,,,
A00301,934,3,107020.0811,,2,,,1,,,,2,,,,
A00302,931,3,89795.32334,,,3,,2,,,,,,4,,
A00303,935,,191272.461,,2,,,4,5,8,,2,,,,
A00304,931,2,65590.71585,1,,,,3,7,5,,,,,,
A00305,934,4,237919.108,,,3,,1,4,,,,,4,,
A00306,931,3,86955.77642,,2,,,2,,,1,,,,,
A00307,932,1,74764.99011,,2,,,1,6,,,2,,,,
A00308,931,5,245862.9241,,2,,,9,1,12,,,,,,6
A00309,933,3,134870.5025,,2,,,3,13,,,,3,4,,
A00310,932,3,118197.4742,,,3,,12,4,3,,2,,,,
A00311,933,3,118924.4962,1,,,,6,2,5,,,,,,
A00312,931,3,190226.8448,,2,,,12,9,6,1,,3,,,
A00313,931,5,206588.9404,1,,,,7,1,15,,2,,4,,
A00314,934,4,,,2,,,1,8,,,,,,,
A00315,931,2,,,2,,,9,4,,1,,3,,,
A00316,931,3,135200.7647,,2,,,2,9,15,,,,,,
A00317,931,4,129366.0228,,,,,5,1,9,,2,,4,5,
A00318,932,4,191449.5598,,,3,,2,3,5,,,,,,
A00319,932,3,167254.9264,,2,,,2,3,,,,,,,
A00320,936,2,,,,,,,7,13,,,3,,,
A00321,931,2,61408.22105,,2,,,1,,13,,,,4,,
A00322,932,2,86438.75072,,2,,,3,,,,,,,,
A00323,933,3,,1,,,,3,5,,,,,,5,
A00324,931,1,89339.66382,,,,4,7,3,8,,2,3,,,
A00325,932,3,166704.6327,,,,,2,5,3,,,,,,
A00326,933,3,104178.9411,,2,,,4,12,8,,,3,,,
A00327,932,4,116110.1065,,,3,,4,2,5,,,,,,
A00328,934,3,182311.5632,,2,,,1,5,4,,,3,,,
A00329,931,5,339708.4086,,,3,,1,3,8,1,,3,,,
A00330,933,3,117047.4738,,2,,,1,3,4,,,3,4,,
A00331,932,3,131782.2552,,2,,,1,2,5,1,,,,,
A00332,931,,115342.0654,1,,,,3,13,8,,,,,,
A00333,931,1,75602.66229,1,,,,15,,,,,,4,,
A00334,931,1,50019.51379,1,,,,1,3,5,,2,3,,,
A00335,931,3,196512.8817,,,,,1,,,,2,,,5,
A00336,936,4,,,2,,,6,,,,,,,,
A00337,931,3,151214.9693,,2,,,3,9,6,,,,,,
A00338,931,3,183273.435,,,3,,2,1,5,,,,,,
A00339,935,,144023.7896,1,,,,2,3,4,,2,,,,
A00340,931,3,122357.5065,,2,,,7,15,5,,,,4,,
A00341,931,4,256852.996,1,,,,7,,,,2,3,,,
A00342,931,1,98767.04141,,,,,9,11,10,,,,,,
A00343,934,3,186384.6095,,,3,,8,1,11,,,3,,,
A00344,931,3,102889.4614,,2,,,12,,,,,,,,
A00345,932,3,,1,,,,4,2,6,,,,,,
A00346,935,3,156526.3371,,,,4,13,12,5,,,,,,
A00347,932,,251059.8604,1,,,,15,2,12,,,,,,
A00348,933,3,118235.7415,,,3,,3,7,4,,,,4,,
A00349,932,2,69252.91044,,,3,,9,2,5,,,,,,
A00350,931,3,112367.0153,,2,,,1,3,7,,,,,,
A00351,934,3,145986.899,1,,,,2,1,13,,,,,,
A00352,935,3,64967.22234,,2,,,12,6,13,,,,,,
A00353,931,3,110021.8618,1,,,,1,14,5,,,,4,,
A00354,931,4,197000.7722,,,,,13,5,,,,,,,
A00355,931,4,182618.3584,,2,,,1,,11,,2,3,,,
A00356,934,1,47948.9215,,2,,,9,6,7,1,,3,,,
A00357,932,4,173376.4159,,,3,,12,8,14,,,,4,,
A00358,934,4,196964.3651,,,,4,1,8,3,,,,,,
A00359,934,3,141214.8797,,,,4,9,1,4,,,3,,,
A00360,934,3,126786.66,,,3,,5,2,15,,,,,,
A00361,931,3,91002.93158,,2,,,3,12,2,,,3,4,,
A00362,931,,153356.0167,,2,,,1,3,5,1,,,,,
A00363,934,5,252052.8579,1,,,,6,2,5,1,,,4,,
A00364,931,1,46286.70528,,,,,2,14,4,,,3,,,
A00365,935,3,108465.2327,,2,,,1,12,7,,,,,,
A00366,934,2,121945.8924,,,3,,3,4,,,,,,,
A00367,933,3,,,,,,7,9,,,,3,,,
A00368,934,4,157319.3083,,2,,,12,13,7,,2,3,,,
A00369,931,,89220.42786,,,3,,15,1,,,,,,5,
A00370,931,3,118115.5029,1,,,,3,1,5,,,,4,,
A00371,935,4,75653.16385,,2,,,12,2,5,,,,,,
A00372,934,3,85850.4267,1,,,,13,15,3,,2,3,,,
A00373,931,3,65412.89641,,,,4,4,13,,,,,,,
A00374,934,3,210627.7379,,2,,,2,12,3,,,,,,
A00375,934,3,173213.731,,2,,,5,4,13,,2,3,,,
A00376,936,2,62311.15801,,,,4,7,1,13,,2,,,5,
A00377,933,3,149615.4694,,,,4,5,6,8,1,,,,5,6
A00378,933,1,,,2,,,4,3,6,,,,,,
A00379,934,4,248817.5699,,,,4,3,14,5,,,,,,
A00380,931,2,148686.5588,,2,,,4,2,,,2,,,,
A00381,933,3,,,2,,,3,,,,2,3,,,
A00382,934,,126792.6663,,2,,,13,2,4,1,,,,,
A00383,931,3,127348.3526,1,,,,1,3,6,,,,4,,
A00384,931,3,144722.3545,,2,,,2,3,5,,,,4,,
A00385,931,5,256074.1786,1,,,,12,,,,,,4,5,
A00386,933,,72293.71562,,2,,,1,14,15,,2,3,4,,
A00387,932,4,153235.9173,,,3,,13,10,15,1,,,4,,
A00388,933,3,142619.2822,,,3,,5,13,12,,,3,4,,6
A00389,934,3,107927.2084,,,,,2,,12,,,,,,
A00390,931,3,166396.089,,2,,,2,1,,,,,,,
A00391,935,4,151668.8611,1,,,,7,,,,,3,,,
A00392,931,3,,1,,,,5,13,4,,2,,,,
A00393,931,4,179524.2883,,2,,,8,,,,,,,,
A00394,931,4,170414.9362,,,3,,1,2,5,,,,4,,
A00395,934,3,,1,,,,1,3,6,,2,,4,,
A00396,931,3,79335.76985,,2,,,7,2,12,1,,,,,
A00397,931,1,49360.22109,,,,4,1,7,12,,,,,,
A00398,933,3,161897.6288,,,3,,1,4,5,1,,,,,
A00399,932,1,105569.0311,,2,,,3,,,,,3,,,
A00400,933,1,43416.87997,,2,,,1,8,5,,,3,,,
A00401,931,4,170532.5567,,2,,,8,4,3,,,,,,
A00402,932,1,40849.60659,,,,,6,2,7,,,3,,,
A00403,935,1,,,2,,,1,5,8,,,3,4,,
A00404,935,3,204007.7792,,2,,,6,15,5,1,,3,,,
A00405,931,3,127396.7095,1,,,,5,7,8,,,,,,
A00406,932,2,80682.82479,,2,,,15,,,,,,,,
A00407,932,1,,,,3,,1,11,,1,,,,,
A00408,932,4,203265.1717,,2,,,1,3,12,,,,,,
A00409,934,3,153325.3006,,,,4,14,1,,,,,,,
A00410,931,3,140218.0099,1,,,,,,,,,3,,,
A00411,932,3,135353.8859,,2,,,3,11,5,1,,,4,,
A00412,933,4,211695.2071,,2,,,2,1,,,,3,,,
A00413,935,2,86571.85878,1,,,,3,12,13,,,3,4,5,
A00414,935,3,127186.8199,,,3,,3,6,14,,,,,,
A00415,931,3,190281.5278,1,,,,4,9,13,1,,,,,
A00416,934,2,95761.13663,,2,,,1,13,5,,2,,,,
A00417,931,,190092.8214,,,,4,13,15,5,,,,,,
A00418,931,3,72710.39737,,2,,,2,4,7,,,,,,
A00419,931,1,64378.02044,,,,4,1,9,13,,,,,,
A00420,936,2,45611.40739,1,,,,9,11,,,,,,,
A00421,932,3,114409.2082,1,,,,3,8,13,,,3,,,
A00422,932,3,107212.9042,,2,,,13,15,3,,,,4,,
A00423,931,3,164294.2723,,2,,,15,,5,,,,4,,
A00424,934,3,165697.0662,1,,,,1,13,12,,,,,5,
A00425,931,3,109957.5866,,,3,,1,4,,,,,,,
A00426,931,2,148348.4056,1,,,,3,,,1,,,4,,
A00427,934,,162290.7285,,2,,,11,3,15,,2,,,,
A00428,933,3,158719.5232,,2,,,2,15,5,,,,,5,
A00429,931,4,145895.1717,,2,,,3,11,6,,,,,,
A00430,932,2,101165.4762,1,,,,3,8,11,,,,,,
A00431,935,2,124155.2524,,2,,,1,14,7,,,3,,,
A00432,932,1,104955.5157,1,,,,8,14,7,,,,,,
A00433,931,4,244373.2245,,2,,,2,6,1,,,3,,,
A00434,931,4,219494.6066,,,3,,2,3,5,,,,,,
A00435,932,3,108577.5489,1,,,,5,1,7,,,,,,
A00436,933,2,71778.77979,,,,,2,9,8,,,3,,,
A00437,931,3,97141.21933,,,,,1,14,11,,2,,,,
A00438,935,4,180268.9453,,2,,,12,5,6,,,,,5,
A00439,931,4,,,2,,,3,2,5,,,,,,
A00440,934,4,157586.7792,,2,,,3,8,,1,,,,,
A00441,934,1,62854.23819,1,,,,1,15,,,2,3,4,,6
A00442,932,4,228261.5402,,,,,1,7,12,,,,,,
A00443,931,4,117737.8249,,2,,,8,,,,2,,4,,
A00444,933,3,99846.68742,,,3,,1,14,13,1,,,,,
A00445,932,2,54795.93545,1,,,,8,11,3,1,,,,,6
A00446,933,,53288.54379,,,3,,4,2,,,,,,,
A00447,931,3,140870.715,1,,,,13,8,5,,,,,,
A00448,931,3,,1,,,,2,13,6,1,,,4,5,
A00449,934,3,111758.4845,,2,,,3,4,5,,,,,,
